bot;aposta_id;event_id;mercado_tick;mercado_tipo;linha;selecao;odd;liga;apostado_em;veredito;motivos
SENTINELA-E-WCA-HC;71139;17148860;Handicap;16;-1.50;England (BOKURR) (-1.5);3.010;FC26 World Cup A;2026-07-21 05:46:11.577493;OK;
SENTINELA-E-WCA-HC;71147;17148859;Handicap;16;1.50;Sweden (Makaveli) (+1.5);1.310;FC26 World Cup A;2026-07-21 05:46:59.581200;OK;
SENTINELA-E-WCA-HC;71148;17148859;Handicap;16;-1.50;Norway (metelk1n) (-1.5);2.960;FC26 World Cup A;2026-07-21 05:46:59.581494;OK;
SENTINELA-E-WCA-HC;71149;17147164;Handicap;16;-0.50;Morocco (DaVa) (-0.5);2.200;World Cup A;2026-07-21 05:47:04.950820;OK;
SENTINELA-E-WCA-HC;71150;17147163;Handicap;16;-0.50;Netherlands (Revange) (-0.5);1.850;World Cup A;2026-07-21 05:47:05.077236;OK;
SENTINELA-E-WCA-HC;71158;17147192;Handicap;16;0.50;Ghana (BlackStar98) (+0.5);1.530;World Cup A;2026-07-21 05:59:05.397336;OK;
SENTINELA-E-WCA-HC;71159;17147192;Handicap;16;-0.50;Morocco (DaVa) (-0.5);2.350;World Cup A;2026-07-21 05:59:05.397892;OK;
SENTINELA-E-WCA-HC;71160;17147119;Handicap;16;-0.50;Netherlands (Revange) (-0.5);1.700;World Cup A;2026-07-21 05:59:05.855113;OK;
SENTINELA-E-WCA-HC;71165;17147364;Handicap;16;-1.50;Portugal (Ganger_29) (-1.5);1.820;World Cup A;2026-07-21 06:01:04.984023;OK;
SENTINELA-E-WCA-HC;71166;17147314;Handicap;16;-1.50;Norway (Lumix) (-1.5);1.700;World Cup A;2026-07-21 06:01:07.396790;OK;
SENTINELA-E-WCA-HC;71167;17147314;Handicap;16;1.50;Morocco (Totti) (+1.5);2.050;World Cup A;2026-07-21 06:01:07.397784;OK;
SENTINELA-E-WCA-HC;71177;17147382;Handicap;16;-1.50;Colombia (borees) (-1.5);1.950;World Cup A;2026-07-21 06:14:05.806331;OK;
SENTINELA-E-WCA-HC;71179;17147290;Handicap;16;2.50;Portugal (Ganger_29) (+2.5);1.600;World Cup A;2026-07-21 06:14:05.924513;OK;
SENTINELA-E-WCA-HC;71178;17147290;Handicap;16;-2.50;Belgium (Hyper) (-2.5);2.200;World Cup A;2026-07-21 06:14:05.925007;OK;
SENTINELA-E-WCA-HC;71184;17147233;Handicap;16;-0.50;Scotland (v1nn) (-0.5);1.950;World Cup A;2026-07-21 06:16:43.162525;OK;
SENTINELA-E-WCA-HC;71185;17147233;Handicap;16;0.50;Croatia (Wboy) (+0.5);1.750;World Cup A;2026-07-21 06:16:43.163311;OK;
SENTINELA-E-WCA-HC;71186;17147248;Handicap;16;-0.50;Qatar (KraftVK) (-0.5);1.700;World Cup A;2026-07-21 06:17:26.911021;OK;
SENTINELA-E-WCA-HC;71187;17147248;Handicap;16;0.50;Germany (dor1an) (+0.5);2.050;World Cup A;2026-07-21 06:17:26.911882;OK;
SENTINELA-E-WCA-HC;71201;17147315;Handicap;16;-2.50;Norway (Lumix) (-2.5);1.880;World Cup A;2026-07-21 06:25:26.300631;OK;
SENTINELA-E-WCA-HC;71202;17147315;Handicap;16;2.50;Colombia (borees) (+2.5);1.820;World Cup A;2026-07-21 06:25:26.301677;OK;
SENTINELA-E-WCA-HC;71203;17147310;Handicap;16;-1.50;Belgium (Hyper) (-1.5);1.800;World Cup A;2026-07-21 06:25:46.318242;OK;
SENTINELA-E-WCA-HC;71204;17147310;Handicap;16;1.50;Morocco (Totti) (+1.5);1.900;World Cup A;2026-07-21 06:25:46.318793;OK;
SENTINELA-E-WCA-HC;71209;17147210;Handicap;16;-0.50;Qatar (KraftVK) (-0.5);1.850;World Cup A;2026-07-21 06:28:36.586949;OK;
SENTINELA-E-WCA-HC;71210;17147272;Handicap;16;-1.50;Croatia (Wboy) (-1.5);2.050;World Cup A;2026-07-21 06:28:36.622765;OK;
SENTINELA-E-WCA-HC;71217;17147328;Handicap;16;0.50;Morocco (Totti) (+0.5);1.620;World Cup A;2026-07-21 06:37:33.083431;OK;
SENTINELA-E-WCA-HC;71218;17147328;Handicap;16;-0.50;Portugal (Ganger_29) (-0.5);2.150;World Cup A;2026-07-21 06:37:33.083740;OK;
SENTINELA-E-WCA-HC;71220;17147312;Handicap;16;2.50;Belgium (Hyper) (+2.5);1.550;World Cup A;2026-07-21 06:39:36.586857;OK;
SENTINELA-E-WCA-HC;71219;17147312;Handicap;16;-2.50;Norway (Lumix) (-2.5);2.300;World Cup A;2026-07-21 06:39:36.587358;OK;
SENTINELA-E-WCA-HC;71222;17147202;Handicap;16;-0.50;Croatia (Wboy) (-0.5);1.570;World Cup A;2026-07-21 06:40:37.412977;OK;
SENTINELA-E-WCA-HC;71226;17147255;Handicap;16;-2.50;Scotland (v1nn) (-2.5);2.300;World Cup A;2026-07-21 06:40:37.732612;OK;
SENTINELA-E-WCA-HC;71231;17147387;Handicap;16;-0.50;Colombia (borees) (-0.5);1.880;World Cup A;2026-07-21 06:49:04.698611;OK;
SENTINELA-E-WCA-HC;71232;17147291;Handicap;16;0.50;Norway (Lumix) (+0.5);1.530;World Cup A;2026-07-21 06:49:04.878566;OK;
SENTINELA-E-WCA-HC;71237;17147235;Handicap;16;0.50;Croatia (Wboy) (+0.5);1.700;World Cup A;2026-07-21 06:52:51.167097;OK;
SENTINELA-E-WCA-HC;71238;17147216;Handicap;16;0.50;Czechia (mko1919) (+0.5);2.150;World Cup A;2026-07-21 06:52:51.917515;OK;
SENTINELA-E-WCA-HC;71239;17147216;Handicap;16;-0.50;Scotland (v1nn) (-0.5);1.620;World Cup A;2026-07-21 06:52:51.919760;OK;
SENTINELA-E-WCA-HC;71253;17147338;Handicap;16;-0.50;Norway (Lumix) (-0.5);1.750;World Cup A;2026-07-21 07:01:15.352726;OK;
SENTINELA-E-WCA-HC;71252;17147338;Handicap;16;0.50;Morocco (Totti) (+0.5);1.950;World Cup A;2026-07-21 07:01:15.354428;OK;
SENTINELA-E-WCA-HC;71255;17147350;Handicap;16;-1.50;Portugal (Ganger_29) (-1.5);1.820;World Cup A;2026-07-21 07:01:15.439371;OK;
SENTINELA-E-WCA-HC;71254;17147350;Handicap;16;1.50;Colombia (borees) (+1.5);1.880;World Cup A;2026-07-21 07:01:15.439656;OK;
SENTINELA-E-WCA-HC;71260;17147232;Handicap;16;-0.50;Scotland (v1nn) (-0.5);1.720;World Cup A;2026-07-21 07:04:46.419132;OK;
SENTINELA-E-WCA-HC;71261;17147259;Handicap;16;0.50;Germany (dor1an) (+0.5);1.620;World Cup A;2026-07-21 07:04:46.422777;OK;
SENTINELA-E-WCA-HC;71267;17147333;Handicap;16;1.50;Portugal (Ganger_29) (+1.5);1.650;World Cup A;2026-07-21 07:13:07.695995;OK;
SENTINELA-E-WCA-HC;71268;17147333;Handicap;16;-1.50;Belgium (Hyper) (-1.5);2.100;World Cup A;2026-07-21 07:13:07.696473;OK;
SENTINELA-E-WCA-HC;71269;17147339;Handicap;16;0.50;Colombia (borees) (+0.5);1.950;World Cup A;2026-07-21 07:13:10.040431;OK;
SENTINELA-E-WCA-HC;71275;17147274;Handicap;16;0.50;Croatia (Wboy) (+0.5);1.650;World Cup A;2026-07-21 07:16:20.709838;OK;
SENTINELA-E-WCA-HC;71276;17147274;Handicap;16;-0.50;Scotland (v1nn) (-0.5);2.100;World Cup A;2026-07-21 07:16:20.711207;OK;
SENTINELA-E-WCA-HC;71277;17147220;Handicap;16;-1.50;Qatar (KraftVK) (-1.5);1.670;World Cup A;2026-07-21 07:16:20.721654;OK;
SENTINELA-E-WCA-HC;71283;17147293;Handicap;16;-0.50;Norway (Lumix) (-0.5);1.900;World Cup A;2026-07-21 07:25:03.699506;OK;
