Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:16:33,Handicap,Dallas Mavericks (ENIGMA) +1.5,1.5,0.5,62,0.4,10,0.35,20,0.4666666666666667,30,0.46,50,1.75,27-27,61-59,Green,0.75,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:17:09,Handicap,Dallas Mavericks (ENIGMA) +2.5,2.5,0.6129032258064516,62,0.7,10,0.6,20,0.6666666666666666,30,0.6,50,1.6,29-29,61-59,Green,0.6,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:20:25,Handicap,Dallas Mavericks (ENIGMA) +3.5,3.5,0.6935483870967742,62,0.7,10,0.65,20,0.7333333333333333,30,0.66,50,1.83,34-37,61-59,Green,0.83,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:20:46,Handicap,Dallas Mavericks (ENIGMA) +6.5,6.5,0.8064516129032258,62,0.7,10,0.7,20,0.8,30,0.78,50,1.78,34-39,61-59,Green,0.78,90530283
,NBA H2H GG League 4x5 minutes,ENIGMA x KARMA,ENIGMA,Dallas Mavericks,KARMA,Denver Nuggets,11/08/2026,03:20:57,Handicap,Dallas Mavericks (ENIGMA) +4.5,4.5,0.7419354838709677,62,0.7,10,0.7,20,0.8,30,0.72,50,1.83,36-39,61-59,Green,0.83,90530283
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:02:05,Handicap,Brooklyn Nets (JUGGERNAUT) +5.5,5.5,0.45454545454545453,11,0.5,10,0.45454545454545453,11,0.45454545454545453,11,0.45454545454545453,11,1.88,0-0,58-68,Red,-1.0,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:08:04,Handicap,Brooklyn Nets (JUGGERNAUT) +6.5,6.5,0.45454545454545453,11,0.5,10,0.45454545454545453,11,0.45454545454545453,11,0.45454545454545453,11,1.82,0-2,58-68,Red,-1.0,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:08:14,Handicap,Brooklyn Nets (JUGGERNAUT) +4.5,4.5,0.36363636363636365,11,0.4,10,0.36363636363636365,11,0.36363636363636365,11,0.36363636363636365,11,1.82,3-2,58-68,Red,-1.0,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:10:06,Handicap,Brooklyn Nets (JUGGERNAUT) +7.5,7.5,0.45454545454545453,11,0.5,10,0.45454545454545453,11,0.45454545454545453,11,0.45454545454545453,11,1.8,5-7,58-68,Red,-1.0,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:11:03,Handicap,Brooklyn Nets (JUGGERNAUT) +3.5,3.5,0.2727272727272727,11,0.3,10,0.2727272727272727,11,0.2727272727272727,11,0.2727272727272727,11,1.78,7-7,58-68,Red,-1.0,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:13:18,Handicap,Brooklyn Nets (JUGGERNAUT) +8.5,8.5,0.45454545454545453,11,0.5,10,0.45454545454545453,11,0.45454545454545453,11,0.45454545454545453,11,1.75,9-14,58-68,Red,-1.0,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:14:13,Handicap,Brooklyn Nets (JUGGERNAUT) +9.5,9.5,0.45454545454545453,11,0.5,10,0.45454545454545453,11,0.45454545454545453,11,0.45454545454545453,11,1.82,12-19,58-68,Red,-1.0,90530297
,NBA H2H GG League 4x5 minutes,JUGGERNAUT x BRAZEN,JUGGERNAUT,Brooklyn Nets,BRAZEN,Miami Heat,11/08/2026,03:22:30,Handicap,Brooklyn Nets (JUGGERNAUT) +10.5,10.5,0.6363636363636364,11,0.6,10,0.6363636363636364,11,0.6363636363636364,11,0.6363636363636364,11,1.85,31-40,58-68,Green,0.85,90530297
