Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Todas,Qtd Todas,Últ. 10,Qtd Últ. 10,Últ. 20,Qtd Últ. 20,Últ. 30,Qtd Últ. 30,Últ. 50,Qtd Últ. 50,Últ. 100,Qtd Últ. 100,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:31:57,Total de Gols,Under,7.5,0.4444444444444444,207,0.2,10,0.35,20,0.36666666666666664,30,0.36,50,0.37,100,2.03,0-1,3-5,Red,-1.0,17502949
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:34:42,Total de Gols,Under,6.5,0.2753623188405797,207,0.2,10,0.15,20,0.16666666666666666,30,0.18,50,0.19,100,2.16,1-2,3-5,Red,-1.0,17502949
, CLA-UA Italy Cyber Cup (UA),Voron x palkan,Voron,Inter,palkan,Fiorentina,26/08/2026,05:35:56,Total de Gols,Under,5.5,0.1111111111111111,207,0.1,10,0.1,20,0.06666666666666667,30,0.06,50,0.06,100,2.21,1-2,3-5,Red,-1.0,17502949
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:41:01,Total de Gols,Under,7.5,0.5585585585585585,111,0.5,10,0.45,20,0.4666666666666667,30,0.52,50,0.56,100,1.98,0-0,3-4,Green,0.98,17502951
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:42:39,Total de Gols,Under,8.5,0.7927927927927928,111,0.8,10,0.75,20,0.7333333333333333,30,0.78,50,0.79,100,1.76,0-0,3-4,Green,0.76,17502951
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:44:31,Total de Gols,Under,9.5,0.9009009009009009,111,0.9,10,0.9,20,0.8666666666666667,30,0.9,50,0.9,100,1.93,0-1,3-4,Green,0.93,17502951
, CLA-UA Italy Cyber Cup (UA),Terry14 x fillanchik,Terry14,Juventus,fillanchik,Lecce,26/08/2026,05:48:43,Total de Gols,Under,6.5,0.38738738738738737,111,0.5,10,0.35,20,0.3333333333333333,30,0.32,50,0.39,100,2.12,1-1,3-4,Red,-1.0,17502951
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,05:55:46,Total de Gols,Under,7.5,0.4838709677419355,62,0.7,10,0.6,20,0.5,30,0.5,50,0.4838709677419355,62,1.74,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,05:57:44,Total de Gols,Under,6.5,0.3064516129032258,62,0.4,10,0.4,20,0.3333333333333333,30,0.32,50,0.3064516129032258,62,2.03,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,05:59:18,Total de Gols,Under,5.5,0.14516129032258066,62,0.3,10,0.25,20,0.2,30,0.16,50,0.14516129032258066,62,2.12,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,06:01:19,Total de Gols,Under,4.5,0.03225806451612903,62,0.1,10,0.05,20,0.03333333333333333,30,0.04,50,0.03225806451612903,62,2.12,0-0,5-3,Red,-1.0,17502952
, CLA-UA Italy Cyber Cup (UA),Donatello x fillanchik,Donatello,Lazio,fillanchik,Lecce,26/08/2026,06:03:51,Total de Gols,Under,8.5,0.6612903225806451,62,0.8,10,0.7,20,0.7,30,0.7,50,0.6612903225806451,62,1.84,3-1,5-3,Green,0.84,17502952
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,05:56:42,Total de Gols,Under,7.5,0.6372950819672131,488,0.4,10,0.5,20,0.5333333333333333,30,0.54,50,0.57,100,1.98,0-0,7-2,Red,-1.0,17502954
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,05:58:38,Total de Gols,Under,8.5,0.7602459016393442,488,0.6,10,0.75,20,0.7333333333333333,30,0.78,50,0.76,100,1.65,0-0,7-2,Red,-1.0,17502954
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,06:00:18,Total de Gols,Under,9.5,0.8524590163934426,488,0.7,10,0.8,20,0.7666666666666667,30,0.82,50,0.85,100,1.63,2-0,7-2,Green,0.63,17502954
, CLA-UA Italy Cyber Cup (UA),Terry14 x Voron,Terry14,Juventus,Voron,Inter,26/08/2026,06:01:19,Total de Gols,Under,10.5,0.9262295081967213,488,0.9,10,0.9,20,0.8666666666666667,30,0.9,50,0.91,100,1.83,4-0,7-2,Green,0.83,17502954
,CLA-UA World Cyber Cup (UA),vrud1 x shatik666,vrud1,Cabo Verde,shatik666,Romania,26/08/2026,06:09:51,Total de Gols,Under,9.5,0.14285714285714285,7,0.14285714285714285,7,0.14285714285714285,7,0.14285714285714285,7,0.14285714285714285,7,0.14285714285714285,7,1.97,0-0,8-6,Red,-1.0,17503205
