Torneio,Campeonato,Confronto,Jogador A,Time A,Jogador B,Time B,Data,Hora,Mercado,Tip,Linha,Janela 1,Winrate 1,Janela 2,Winrate 2,Odd,Placar Envio,Placar Final,Resultado,Lucro/Prej.,event_id
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:37:10,Total de Gols,Under,8.5,,,,,1.98,0-0,7-3,Red,-1.0,17502961
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:39:40,Total de Gols,Under,9.5,,,,,1.66,0-0,7-3,Red,-1.0,17502961
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:40:49,Total de Gols,Under,10.5,,,,,1.74,2-0,7-3,Green,0.74,17502961
, CLA-UA Italy Cyber Cup (UA),palkan x Voron,palkan,Fiorentina,Voron,Inter,26/08/2026,06:41:05,Total de Gols,Under,11.5,,,,,1.65,2-1,7-3,Green,0.65,17502961
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,06:51:10,Total de Gols,Under,9.5,,,,,1.97,0-0,3-4,Green,0.97,17502974
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,06:53:09,Total de Gols,Under,8.5,,,,,2.07,0-0,3-4,Green,1.07,17502974
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,06:53:29,Total de Gols,Under,10.5,,,,,1.92,0-1,3-4,Green,0.92,17502974
, CLA-UA Spain Cyber Cup (UA),kozak x aloha,kozak,Getafe,aloha,Celta Vigo,26/08/2026,07:01:57,Total de Gols,Under,7.5,,,,,2.47,3-4,3-4,Green,1.47,17502974
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:55:05,Total de Gols,Under,7.5,,,,,1.96,0-1,3-4,Green,0.96,17502965
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:55:24,Total de Gols,Under,8.5,,,,,1.85,0-1,3-4,Green,0.85,17502965
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:58:12,Total de Gols,Under,9.5,,,,,2.01,1-3,3-4,Green,1.01,17502965
, CLA-UA Italy Cyber Cup (UA),palkan x Donatello,palkan,Fiorentina,Donatello,Lazio,26/08/2026,06:59:10,Total de Gols,Under,10.5,,,,,1.68,2-3,3-4,Green,0.68,17502965
, CLA-UA Italy Cyber Cup (UA),fillanchik x Terry14,fillanchik,Lecce,Terry14,Juventus,26/08/2026,06:52:29,Total de Gols,Under,7.5,,,,,1.98,0-0,2-4,Green,0.98,17502956
, CLA-UA Italy Cyber Cup (UA),fillanchik x Terry14,fillanchik,Lecce,Terry14,Juventus,26/08/2026,06:53:24,Total de Gols,Under,8.5,,,,,1.78,0-0,2-4,Green,0.78,17502956
, CLA-UA Italy Cyber Cup (UA),fillanchik x Terry14,fillanchik,Lecce,Terry14,Juventus,26/08/2026,06:59:34,Total de Gols,Under,6.5,,,,,2.22,2-2,2-4,Green,1.22,17502956
